*-----------------------------------------------------------------------------*
| Address|     Tag|   Set #| Old Tag| Hit?|   Hits| Misses|Accesses|Miss Ratio|
|=============================================================================|
|   4013c|      80|      19|       0| Miss|      0|      1|       1|1.00000000|
|   42ed5|      85|     109|       0| Miss|      0|      2|       2|1.00000000|
|   40152|      80|      21|       0| Miss|      0|      3|       3|1.00000000|
|   4c09b|      98|       9|       0| Miss|      0|      4|       4|1.00000000|
|   48150|      90|      21|       0| Miss|      0|      5|       5|1.00000000|
|   47169|      8e|      22|       0| Miss|      0|      6|       6|1.00000000|
|   4814a|      90|      20|       0| Miss|      0|      7|       7|1.00000000|
|   400c6|      80|      12|       0| Miss|      0|      8|       8|1.00000000|
|   440d8|      88|      13|       0| Miss|      0|      9|       9|1.00000000|
|   44139|      88|      19|       0| Miss|      0|     10|      10|1.00000000|
|   4c124|      98|      18|       0| Miss|      0|     11|      11|1.00000000|
|   440de|      88|      13|       0|  Hit|      1|     11|      12|0.91666669|
|   44083|      88|       8|       0| Miss|      1|     12|      13|0.92307693|
|   40177|      80|      23|       0| Miss|      1|     13|      14|0.92857140|
|   4c0e6|      98|      14|       0| Miss|      1|     14|      15|0.93333334|
|   44098|      88|       9|       0| Miss|      1|     15|      16|0.93750000|
|   440c1|      88|      12|       0| Miss|      1|     16|      17|0.94117647|
|   44092|      88|       9|       0|  Hit|      2|     16|      18|0.88888890|
|   4415d|      88|      21|       0| Miss|      2|     17|      19|0.89473683|
|   440e2|      88|      14|       0| Miss|      2|     18|      20|0.89999998|
|   48122|      90|      18|       0| Miss|      2|     19|      21|0.90476191|
|   4c0d6|      98|      13|       0| Miss|      2|     20|      22|0.90909094|
|   400de|      80|      13|       0| Miss|      2|     21|      23|0.91304350|
|   440a0|      88|      10|       0| Miss|      2|     22|      24|0.91666669|
|   439c8|      87|      28|       0| Miss|      2|     23|      25|0.92000002|
|   44160|      88|      22|       0| Miss|      2|     24|      26|0.92307693|
|   4c163|      98|      22|       0| Miss|      2|     25|      27|0.92592591|
|   48173|      90|      23|       0| Miss|      2|     26|      28|0.92857140|
|   44109|      88|      16|       0| Miss|      2|     27|      29|0.93103451|
|   44089|      88|       8|       0|  Hit|      3|     27|      30|0.89999998|
|   4413f|      88|      19|       0|  Hit|      4|     27|      31|0.87096775|
|   4f3ed|      9e|      62|       0| Miss|      4|     28|      32|0.87500000|
|   440e7|      88|      14|       0|  Hit|      5|     28|      33|0.84848487|
|   400dc|      80|      13|       0|  Hit|      6|     28|      34|0.82352942|
|   440f1|      88|      15|       0| Miss|      6|     29|      35|0.82857144|
|   44164|      88|      22|       0| Miss|      6|     30|      36|0.83333331|
|   44129|      88|      18|       0| Miss|      6|     31|      37|0.83783782|
|   44098|      88|       9|       0|  Hit|      7|     31|      38|0.81578946|
|   4c0d9|      98|      13|       0| Miss|      7|     32|      39|0.82051283|
|   4c0be|      98|      11|       0| Miss|      7|     33|      40|0.82499999|
|   440d3|      88|      13|       0| Miss|      7|     34|      41|0.82926828|
|   48101|      90|      16|       0| Miss|      7|     35|      42|0.83333331|
